Date,Number of reported results
2023/1/1,20503.84073
2023/1/2,21110.42277
2023/1/3,20684.66948
2023/1/4,20711.99899
2023/1/5,20753.64146
2023/1/6,20662.86311
2023/1/7,20845.33827
2023/1/8,20696.38739
2023/1/9,20768.09331
2023/1/10,20736.73291
2023/1/11,20727.81211
2023/1/12,20771.03709
2023/1/13,20724.20649
2023/1/14,20759.97063
2023/1/15,20736.73206
2023/1/16,20744.44691
2023/1/17,20750.07253
2023/1/18,20738.38019
2023/1/19,20750.97417
2023/1/20,20740.53489
2023/1/21,20746.6057
2023/1/22,20745.09235
2023/1/23,20743.41398
2023/1/24,20746.75772
2023/1/25,20743.13004
2023/1/26,20745.95635
2023/1/27,20744.39989
2023/1/28,20744.74812
2023/1/29,20745.28431
2023/1/30,20744.30281
2023/1/31,20745.31234
2023/2/1,20744.54801
2023/2/2,20744.95693
2023/2/3,20744.88742
2023/2/4,20744.71664
2023/2/5,20744.99856
2023/2/6,20744.71753
2023/2/7,20744.92527
2023/2/8,20744.81962
2023/2/9,21044.83113
2023/2/10,20744.88383
2023/2/11,20744.80296
2023/2/12,20744.8812
2023/2/13,21044.82509
2023/2/14,21244.85216
2023/2/15,21544.85104
2023/2/16,21744.83495
2023/2/17,21761.24419
2023/2/18,21551.4768
2023/2/19,21743.48863
2023/2/20,21564.36456
2023/2/21,21731.75293
2023/2/22,21375.30734
2023/2/23,21721.52753
2023/2/24,21284.86424
2023/2/25,21112.59528
2023/2/26,21093.21268
2023/2/27,20804.79249
2023/2/28,20600.50548
2023/3/1,20463.97634
